vehicle_id,clearance_time,speed
cars_we.369,13.0,0.0
cars_we.370,13.0,0.0
cars_we.371,13.0,0.0
cars_we.372,14.0,0.0
cars_we.373,13.0,0.0
cars_we.374,13.0,0.0
cars_we.375,13.0,0.0
cars_we.376,14.0,0.0
cars_we.377,13.0,0.0
cars_we.378,14.0,0.0
cars_we.379,14.0,0.0
cars_we.380,12.0,0.0
cars_we.381,13.0,0.0
cars_we.382,13.0,0.0
cars_we.383,13.0,0.0
cars_we.384,14.0,0.0
cars_we.385,14.0,0.0
cars_we.386,14.0,0.0
cars_we.387,15.0,0.0
cars_we.388,13.0,0.0
cars_we.389,15.0,0.0
cars_we.390,12.0,0.0
cars_we.391,15.0,0.0
cars_we.392,13.0,0.0
cars_we.393,13.0,0.0
cars_we.394,14.0,0.0
cars_we.395,14.0,0.0
cars_we.396,13.0,0.0
cars_we.397,13.0,0.0
cars_we.398,14.0,0.0
cars_we.399,13.0,0.0
